Date : 2025-05-22 16:31:40
Directory : /Users/dog/WebstormProjects/diplom/mvp
Total : 168 files,  35860 codes, 1130 comments, 2268 blanks, all 39258 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          8 |     17,499 |          0 |          6 |     17,505 |
| TypeScript JSX     |         48 |      6,993 |        184 |        666 |      7,843 |
| YAML               |          6 |      3,266 |          6 |         40 |      3,312 |
| JavaScript         |         37 |      2,630 |        352 |        490 |      3,472 |
| Go                 |         15 |      2,131 |        270 |        420 |      2,821 |
| TypeScript         |         19 |      1,241 |        220 |        158 |      1,619 |
| Markdown           |          7 |      1,112 |          0 |        304 |      1,416 |
| Shell Script       |          8 |        405 |         58 |        104 |        567 |
| Go Checksum File   |          3 |        303 |          0 |          3 |        306 |
| Go Module File     |          3 |         96 |          0 |         16 |        112 |
| Solidity           |          1 |         63 |         20 |         26 |        109 |
| Docker             |          5 |         60 |         20 |         26 |        106 |
| JSON with Comments |          1 |         27 |          0 |          1 |         28 |
| PostCSS            |          1 |         22 |          0 |          5 |         27 |
| Go Work File       |          1 |          7 |          0 |          3 |         10 |
| XML                |          5 |          5 |          0 |          0 |          5 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                       | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                          |        168 |     35,860 |      1,130 |      2,268 |     39,258 |
| . (Files)                                                                                                  |         13 |      2,080 |         32 |        290 |      2,402 |
| analytics-service                                                                                          |          2 |         10 |          1 |          4 |         15 |
| auth-service                                                                                               |         10 |      1,721 |         85 |        186 |      1,992 |
| frontend                                                                                                   |         80 |     17,147 |        406 |        854 |     18,407 |
| frontend (Files)                                                                                           |          8 |      8,910 |          4 |         28 |      8,942 |
| frontend/public                                                                                            |          5 |          5 |          0 |          0 |          5 |
| frontend/src                                                                                               |         67 |      8,232 |        402 |        826 |      9,460 |
| frontend/src/api                                                                                           |          5 |        347 |        127 |         47 |        521 |
| frontend/src/app                                                                                           |         39 |      6,569 |        165 |        607 |      7,341 |
| frontend/src/app (Files)                                                                                   |          3 |         75 |          1 |         14 |         90 |
| frontend/src/app/dashboard                                                                                 |          1 |        413 |         18 |         36 |        467 |
| frontend/src/app/invoices                                                                                  |          2 |        396 |          0 |         36 |        432 |
| frontend/src/app/invoices (Files)                                                                          |          1 |        133 |          0 |         10 |        143 |
| frontend/src/app/invoices/[id]                                                                             |          1 |        263 |          0 |         26 |        289 |
| frontend/src/app/login                                                                                     |          1 |        114 |          9 |         20 |        143 |
| frontend/src/app/tracking                                                                                  |         12 |      2,316 |         48 |        212 |      2,576 |
| frontend/src/app/tracking (Files)                                                                          |          1 |        140 |          3 |         12 |        155 |
| frontend/src/app/tracking/components                                                                       |         11 |      2,176 |         45 |        200 |      2,421 |
| frontend/src/app/users                                                                                     |          5 |        723 |         14 |         84 |        821 |
| frontend/src/app/users (Files)                                                                             |          1 |        329 |         10 |         26 |        365 |
| frontend/src/app/users/components                                                                          |          4 |        394 |          4 |         58 |        456 |
| frontend/src/app/warehouse                                                                                 |         15 |      2,532 |         75 |        205 |      2,812 |
| frontend/src/app/warehouse (Files)                                                                         |          1 |        439 |         21 |         27 |        487 |
| frontend/src/app/warehouse/[id]                                                                            |          2 |        730 |         15 |         43 |        788 |
| frontend/src/app/warehouse/[id] (Files)                                                                    |          1 |        462 |          9 |         25 |        496 |
| frontend/src/app/warehouse/[id]/edit                                                                       |          1 |        268 |          6 |         18 |        292 |
| frontend/src/app/warehouse/analytics                                                                       |          1 |        100 |          7 |         13 |        120 |
| frontend/src/app/warehouse/components                                                                      |         10 |      1,029 |         30 |        108 |      1,167 |
| frontend/src/app/warehouse/create                                                                          |          1 |        234 |          2 |         14 |        250 |
| frontend/src/components                                                                                    |         10 |        446 |         19 |         64 |        529 |
| frontend/src/components/common                                                                             |          2 |         82 |         10 |         16 |        108 |
| frontend/src/components/layout                                                                             |          3 |        233 |          0 |         25 |        258 |
| frontend/src/components/providers                                                                          |          5 |        131 |          9 |         23 |        163 |
| frontend/src/hooks                                                                                         |          1 |         90 |         26 |         18 |        134 |
| frontend/src/store                                                                                         |          3 |        199 |          4 |         19 |        222 |
| frontend/src/types                                                                                         |          6 |        358 |         13 |         36 |        407 |
| frontend/src/utils                                                                                         |          3 |        223 |         48 |         35 |        306 |
| notification-service                                                                                       |          6 |        690 |         55 |         71 |        816 |
| tracking-service-express                                                                                   |         47 |     12,350 |        412 |        666 |     13,428 |
| tracking-service-express (Files)                                                                           |          9 |      9,376 |         32 |        144 |      9,552 |
| tracking-service-express/config                                                                            |          2 |         51 |          5 |         14 |         70 |
| tracking-service-express/contracts                                                                         |          2 |        382 |         20 |         26 |        428 |
| tracking-service-express/controllers                                                                       |          4 |        389 |         56 |         61 |        506 |
| tracking-service-express/middleware                                                                        |          2 |         45 |          4 |         11 |         60 |
| tracking-service-express/models                                                                            |          2 |         93 |          0 |          6 |         99 |
| tracking-service-express/routes                                                                            |          4 |         38 |          0 |         12 |         50 |
| tracking-service-express/scripts                                                                           |         14 |      1,068 |        151 |        228 |      1,447 |
| tracking-service-express/services                                                                          |          3 |        742 |        109 |        126 |        977 |
| tracking-service-express/utils                                                                             |          5 |        166 |         35 |         38 |        239 |
| warehouse-service                                                                                          |         10 |      1,862 |        139 |        197 |      2,198 |
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                   | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/dog/WebstormProjects/diplom/mvp/analytics-service/Dockerfile                                        | Docker             |          5 |          0 |          1 |          6 |
| /Users/dog/WebstormProjects/diplom/mvp/analytics-service/main.go                                           | Go                 |          5 |          1 |          3 |          9 |
| /Users/dog/WebstormProjects/diplom/mvp/api-documentation-readme.md                                         | Markdown           |         75 |          0 |         41 |        116 |
| /Users/dog/WebstormProjects/diplom/mvp/architecture-documentation.md                                       | Markdown           |        614 |          0 |        107 |        721 |
